"Species";"AnaCat";"DemersPelag";"BodyShapeI";"category_troph";"Nocturnal_fish";"IUCN_Code";"Site";"Data"
"Chaetodon trifascialis";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"NT";"Cilik/Kecil";"eDNA"
"Chaetodon trifascialis";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"NT";"Genting 1";"eDNA"
"Chaetodon trifascialis";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"NT";"Genting 1";"eDNA"
"Chaetodontoplus mesoleucus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Cheilinus undulatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"EN";"Genting 1";"eDNA"
"Cheilodipterus artus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Cheilodipterus artus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cheilodipterus artus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cheilodipterus quinquelineatus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Taka Malang E";"eDNA"
"Cheilodipterus quinquelineatus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Taka Malang E";"eDNA"
"Cheilodipterus quinquelineatus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Menjangan Kecil";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Genting 1";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Genting 1";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Taka Malang E";"eDNA"
"Chlorurus bowersi";"Unknown";"reef-associated";"elongated";"Herbivore";"Unknown";"NT";"Cilik/Kecil";"eDNA"
"Chlorurus bowersi";"Unknown";"reef-associated";"elongated";"Herbivore";"Unknown";"NT";"Cilik/Kecil";"eDNA"
"Chlorurus bowersi";"Unknown";"reef-associated";"elongated";"Herbivore";"Unknown";"NT";"Taka Malang E";"eDNA"
"Choerodon anchorago";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Choerodon anchorago";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Chromis alpha";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Chrysiptera parasema";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Chrysiptera rollandi";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Ctenochaetus striatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Genting 1";"eDNA"
"Ctenogobiops feroculus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Ctenogobiops feroculus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Ctenogobiops tangaroai";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cubiceps pauciradiatus";"Unknown";"bathypelagic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Dipterygonotus balteatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Dipterygonotus balteatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Dischistodus chrysopoecilus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Dischistodus chrysopoecilus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Dischistodus chrysopoecilus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Dischistodus chrysopoecilus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
